Particulars,Total,July'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
Revenue,"1,981,418,000","94,550,000","88,970,000","36,608,000","42,350,000","36,300,000","142,750,000","123,500,000","159,897,500","130,392,500","380,200,000","347,400,000","398,500,000",,,,,"12,000,000",
Institution Business,"1,601,418,000","94,550,000","88,970,000","36,608,000","42,350,000","36,300,000","92,750,000","73,500,000","99,897,500","80,392,500","310,200,000","287,400,000","358,500,000","15,575,149","12,588,118","1,049,010","419,604","4,800,000",40.00%
Procurement business,"380,000,000",0,0,0,0,0,"50,000,000","50,000,000","60,000,000","50,000,000","70,000,000","60,000,000","40,000,000",,"2,987,031","497,838.47","629,405.91","7,200,000",60.00%
,,,,,,,,,,,,,,,,,,,
COGS,"1,862,810,966","89,775,225","84,477,015","34,759,296","40,211,325","34,466,850","134,266,125","115,988,250","145,777,008","119,183,923","358,513,900","328,152,300","377,239,750",,,,,,
Institution Business,"1,514,686,966","89,775,225","84,477,015","34,759,296","40,211,325","34,466,850","88,066,125","69,788,250","91,606,008","73,719,923","294,534,900","272,886,300","340,395,750",,,,,,
Procurement business,"348,124,000",0,0,0,0,0,"46,200,000","46,200,000","54,171,000","45,464,000","63,979,000","55,266,000","36,844,000",,,,,,
,,,,,,,,,,,,,,,,,,,
Gross Profit,"118,607,034","4,774,775.00","4,492,985.00","1,848,704.00","2,138,675.00","1,833,150.00","8,483,875.00","7,511,750.00","14,120,492.50","11,208,577.50","21,686,100.00","19,247,700.00","21,260,250.00",,,,,,
Institution Business,"86,731,034","4,774,775.00","4,492,985.00","1,848,704.00","2,138,675.00","1,833,150.00","4,683,875.00","3,711,750.00","8,291,492.50","6,672,577.50","15,665,100.00","14,513,700.00","18,104,250.00",,,,,,
Procurement business,"31,876,000",0,0,0,0,0,"3,800,000","3,800,000","5,829,000","4,536,000","6,021,000","4,734,000","3,156,000",,,,,,
,,,,,,,,,,,,,,,,,,,
Gross Margin,5.99%,5.05%,5.05%,5.05%,5.05%,5.05%,5.94%,6.08%,8.83%,8.60%,5.70%,5.54%,5.34%,,,,,,
Institution Business,5.42%,5.05%,5.05%,5.05%,5.05%,5.05%,5.05%,5.05%,8.30%,8.30%,5.05%,5.05%,5.05%,,,,,,
Procurement business,8.39%,,,,,,7.60%,7.60%,9.72%,9.07%,8.60%,7.89%,7.89%,,,,,,
,,,,,,,,,,,,,,,,,,,
Selling Opex,"81,717,216","3,815,093","3,589,940","1,477,133","1,708,823","1,464,705","5,992,463","5,215,725","6,730,864","5,493,837","15,666,570","14,296,590","16,265,475",,,,,,
Institution Business,"64,617,216","3,815,093","3,589,940","1,477,133","1,708,823","1,464,705","3,742,463","2,965,725","4,030,864","3,243,837","12,516,570","11,596,590","14,465,475",,,,,,
Procurement business,"17,100,000",0,0,0,0,0,"2,250,000","2,250,000","2,700,000","2,250,000","3,150,000","2,700,000","1,800,000",,,,,,
,,,,,,,,,,,,,,,,,,,
CM3,"36,889,818","959,683","903,046","371,571","429,853","368,445","2,491,413","2,296,025","7,389,628","5,714,740","6,019,530","4,951,110","4,994,775",,,,,,
Institution Business,"22,113,818","959,683","903,046","371,571","429,853","368,445","941,413","746,025","4,260,628","3,428,740","3,148,530","2,917,110","3,638,775",,,,,,
Procurement business,"14,776,000",0,0,0,0,0,"1,550,000","1,550,000","3,129,000","2,286,000","2,871,000","2,034,000","1,356,000",,,,,,
,,,,,,,,,,,,,,,,,,,
CM3%,1.86%,1.02%,1.02%,1.02%,1.02%,1.02%,1.75%,1.86%,4.62%,4.38%,1.58%,1.43%,1.25%,,,,,,
Institution Business,1.38%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,4.27%,4.27%,1.02%,1.02%,1.02%,,,,,,
Procurement business,3.89%,,,,,,3.10%,3.10%,5.22%,4.57%,4.10%,3.39%,3.39%,,,,,,
,,,,,,,,,,,,,,,,,,,
Marketing cost,"6,031,080","234,340","294,340","219,340","249,340","244,340","586,340","1,134,340","719,340","411,340","574,340","674,340","689,340",,,,,,
Institution Business,"6,031,080","234,340","294,340","219,340","249,340","244,340","586,340","1,134,340","719,340","411,340","574,340","674,340","689,340",,,,,,
Procurement business,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
CM4,"30,858,738","725,343","608,706","152,231","180,513","124,105","1,905,073","1,161,685","6,670,288","5,303,400","5,445,190","4,276,770","4,305,435",,,,,,
Institution Business,"16,082,738","725,343","608,706","152,231","180,513","124,105","355,073","-388,315","3,541,288","3,017,400","2,574,190","2,242,770","2,949,435",,,,,,
Procurement business,"14,776,000",0,0,0,0,0,"1,550,000","1,550,000","3,129,000","2,286,000","2,871,000","2,034,000","1,356,000",,,,,,
,,,,,,,,,,,,,,,,,,,
