,31,Month,Total,July'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,
Buyers,"31,666,667",Revenue,"1,601,418,000","94,550,000","88,970,000","36,608,000","42,350,000","36,300,000","92,750,000","73,500,000","99,897,500","80,392,500","310,200,000","287,400,000","358,500,000",
,"1,022",Tonnage,"47,130","3,050","2,870","1,100","1,210","1,100","2,650","2,100",775,405,"10,340","9,580","11,950",
Tonnage/Unit price,Unit price,,,31,31,33,35,33,35,35,129,199,30,30,30,
Paddy,32,,"17,870","1,650",800,900,900,"1,100","2,650","2,100",300,50,"1,140","1,980","4,300",
ACI FOODS,32,,"4,900",450,300,300,200,400,700,600,100,50,200,400,"1,200",
MGI,32,,"4,600",400,200,0,0,350,700,700,,0,250,500,"1,500",
TK,32,,"5,265",525,200,300,200,350,550,400,0,0,540,600,"1,600",
PRAN,32,,700,0,0,0,200,,300,200,,,,,,
CITY ,32,,480,0,0,0,,,,,0,,,480,,
RUPCHANDA,32,,"1,725",275,100,300,300,,400,200,,,150,,,
SQUARE,32,,200,0,0,0,,,,,200,,,,,
Maize,30,,"28,430","1,400","2,070",200,310,0,0,0,0,0,"9,200","7,600","7,650",
CP,30,,"6,550",400,600,,150,0,0,0,0,0,"1,800","1,800","1,800",
KAZI,30,,"1,850",0,100,0,0,0,0,0,0,0,700,500,550,
NOURISH,30,,"3,900",400,400,0,0,0,0,0,0,0,"1,000","1,200",900,
PARAGON,30,,"1,350",0,50,0,0,0,0,0,0,0,400,200,700,
NEW HOPE,30,,"4,100",300,400,200,100,0,0,0,0,0,900,"1,000","1,200",
ACI GODREJ,30,,"6,300",300,400,0,0,0,0,0,0,0,"2,600","1,800","1,200",
QUALITY,30,,"2,580",0,120,0,60,0,0,0,0,0,"1,000",700,700,
HAID,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,
NAHAR AGRO,30,,300,0,0,0,0,0,0,0,0,0,100,100,100,
Pran alo,30,,700,0,0,0,0,0,0,0,0,0,400,100,200,
freshfeed (MGI),30,,800,0,0,0,0,0,0,0,0,0,300,200,300,
,,,,,,,,,,,,,,,,
Turmeric,150,,205,0,0,0,0,0,0,0,100,105,0,0,0,
PRAN,150,,150,,,,,,,,100,50,,,,
SQUARE,150,,55,,,,,,,,,55,,,,
Mustard,85,,150,0,0,0,0,0,0,0,150,0,0,0,0,
TK,85,,150,,,,,,,,150,,,,,
MGI,85,,0,,,,,,,,,,,,,
SQUARE,85,,0,,,,,,,,,,,,,
Chilli,250,,475,0,0,0,0,0,0,0,225,250,0,0,0,
PRAN,250,,200,,,,,,,,100,100,,,,
SQUARE,250,,275,,,,,,,,125,150,,,,
MGI,250,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Revenue data,Unit Price,Unit,"1,601,418,000","94,550,000","88,970,000","36,608,000","42,350,000","36,300,000","92,750,000","73,500,000","99,897,500","80,392,500","310,200,000","287,400,000","358,500,000",0
Paddy,34,"1,000","611,147,000","51,150,000","24,800,000","29,952,000","31,500,000","36,300,000","92,750,000","73,500,000","38,670,000","9,925,000","34,200,000","59,400,000","129,000,000",
ACI FOODS,34,"1,000","175,749,000","13,950,000","9,300,000","9,984,000","7,000,000","13,200,000","24,500,000","21,000,000","12,890,000","9,925,000","6,000,000","12,000,000","36,000,000",
MGI,34,"1,000","146,650,000","12,400,000","6,200,000",0,0,"11,550,000","24,500,000","24,500,000",0,0,"7,500,000","15,000,000","45,000,000",
TK,34,"1,000","166,459,000","16,275,000","6,200,000","9,984,000","7,000,000","11,550,000","19,250,000","14,000,000",0,0,"16,200,000","18,000,000","48,000,000",
PRAN,34,"1,000","24,500,000",0,0,0,"7,000,000",0,"10,500,000","7,000,000",0,0,0,0,0,
CITY ,34,"1,000","14,400,000",0,0,0,0,0,0,0,0,0,0,"14,400,000",0,
RUPCHANDA,34,"1,000","57,609,000","8,525,000","3,100,000","9,984,000","10,500,000",0,"14,000,000","7,000,000",0,0,"4,500,000",0,0,
SQUARE,34,"1,000","25,780,000",0,0,0,0,0,0,0,"25,780,000",0,0,0,0,
Maize,30,"1,000","858,576,000","43,400,000","64,170,000","6,656,000","10,850,000",0,0,0,0,0,"276,000,000","228,000,000","229,500,000",
CP,30,"1,000","198,250,000","12,400,000","18,600,000",0,"5,250,000",0,0,0,0,0,"54,000,000","54,000,000","54,000,000",
KAZI,30,"1,000","55,600,000",0,"3,100,000",0,0,0,0,0,0,0,"21,000,000","15,000,000","16,500,000",
NOURISH,30,"1,000","117,800,000","12,400,000","12,400,000",0,0,0,0,0,0,0,"30,000,000","36,000,000","27,000,000",
PARAGON,30,"1,000","40,550,000",0,"1,550,000",0,0,0,0,0,0,0,"12,000,000","6,000,000","21,000,000",
NEW HOPE,30,"1,000","124,856,000","9,300,000","12,400,000","6,656,000","3,500,000",0,0,0,0,0,"27,000,000","30,000,000","36,000,000",
ACI GODREJ,30,"1,000","189,700,000","9,300,000","12,400,000",0,0,0,0,0,0,0,"78,000,000","54,000,000","36,000,000",
QUALITY,30,"1,000","77,820,000",0,"3,720,000",0,"2,100,000",0,0,0,0,0,"30,000,000","21,000,000","21,000,000",
HAID,30,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,
NAHAR AGRO,30,"1,000","9,000,000",0,0,0,0,0,0,0,0,0,"3,000,000","3,000,000","3,000,000",
Pran alo,30,"1,000","21,000,000",0,0,0,0,0,0,0,0,0,"12,000,000","3,000,000","6,000,000",
freshfeed (MGI),30,"1,000","24,000,000",0,0,0,0,0,0,0,0,0,"9,000,000","6,000,000","9,000,000",
,,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,
Turmeric,150,"1,000","33,732,500",0,0,0,0,0,0,0,"12,890,000","20,842,500",0,0,0,
PRAN,150,"1,000","22,815,000",0,0,0,0,0,0,0,"12,890,000","9,925,000",0,0,0,
SQUARE,150,"1,000","10,917,500",0,0,0,0,0,0,0,0,"10,917,500",0,0,0,
Mustard,85,"1,000","19,335,000",0,0,0,0,0,0,0,"19,335,000",0,0,0,0,
TK,85,"1,000","19,335,000",0,0,0,0,0,0,0,"19,335,000",0,0,0,0,
MGI,85,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,
SQUARE,85,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,
Chilli,250,"1,000","78,627,500",0,0,0,0,0,0,0,"29,002,500","49,625,000",0,0,0,
PRAN,250,"1,000","32,740,000",0,0,0,0,0,0,0,"12,890,000","19,850,000",0,0,0,
SQUARE,250,"1,000","45,887,500",0,0,0,0,0,0,0,"16,112,500","29,775,000",0,0,0,
MGI,250,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,
