Buyer,Average of 3 month-procurement cost,Sales revenue,No of payment/month,Recovery timeline (Working days),Factoring status,Factoring FI,Factoring amount recovery timeline,Remaining non-factoring amount recovery timeline,payment per installment,Factoring amount %,Remaining non-factoring amount%,Factoring availability,Factoring amount ,Rest of factoring amount,Factoring charge per year (Bank rate),interest on crowd funding per year (based on Jan'26-Jun'26 data),Factoring cost of fund/day,investor's cost of fund/day,factoring cost (Total weighted average),Investor's cost of fund (Total Weighted Average),Total Weighted average Finance cost %,Per day rate of Weighter Average finance cost %,30-day conversion of the weighted average Finance cost %,Unnamed: 24,Buyer.1,Cash inflow/outflow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,April Total,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,May Total,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,15.2,16.1,17.1,18.1,19.1,20.1,21.1,22.1,June Total
ACI Foods - Bikrompur,,,1,17.0,Yes,EBL,3.0,14.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,0.98%,0.04%,0.03%,0.42%,0.17%,0.59%,0.04%,1.26%,,ACI Foods - Bikrompur,Cash inflow,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI Foods - Roma Auto,,,1,17.0,Yes,EBL,3.0,14.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,0.98%,0.04%,0.03%,0.42%,0.17%,0.59%,0.04%,1.26%,,ACI Foods - Roma Auto,Cash inflow,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI Foods - Saraswatipur,,,1,17.0,Yes,EBL,3.0,14.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,0.98%,0.04%,0.03%,0.42%,0.17%,0.59%,0.04%,1.26%,,ACI Foods - Saraswatipur,Cash inflow,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACI Godrej - Hatibandha, Lalmonirhat",,,1,17.0,Yes,CITINA,3.0,14.0,0.0,100.00%,0.00%,,0.0,0.0,10.92%,0.98%,0.03%,0.03%,0.42%,0.10%,0.52%,0.04%,1.11%,,"ACI Godrej - Hatibandha, Lalmonirhat",Cash inflow,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI Godrej - Narayongonj Bhulta,,,1,17.0,Yes,CITINA,3.0,14.0,0.0,100.00%,0.00%,,0.0,0.0,10.92%,0.98%,0.03%,0.03%,0.42%,0.10%,0.52%,0.04%,1.11%,,ACI Godrej - Narayongonj Bhulta,Cash inflow,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI Godrej - Shirajgonj,,,1,17.0,Yes,CITINA,3.0,14.0,0.0,100.00%,0.00%,,0.0,0.0,10.92%,0.98%,0.03%,0.03%,0.42%,0.10%,0.52%,0.04%,1.11%,,ACI Godrej - Shirajgonj,Cash inflow,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akij Essential Ltd.,,,,12.0,No,,,,, , ,,,,,,,,, , , , ,,Akij Essential Ltd.,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Bangladesh - Birganj,,,1,19.0,Yes,IDLC,3.0,16.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,0.98%,0.04%,0.03%,0.63%,0.15%,0.78%,0.05%,1.46%,,CP Bangladesh - Birganj,Cash inflow,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Bangladesh - Bogra,,,1,19.0,Yes,IDLC,3.0,16.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,0.98%,0.04%,0.03%,0.63%,0.15%,0.78%,0.05%,1.46%,,CP Bangladesh - Bogra,Cash inflow,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Bangladesh - Chandra,,,1,19.0,Yes,IDLC,3.0,16.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,0.98%,0.04%,0.03%,0.63%,0.15%,0.78%,0.05%,1.46%,,CP Bangladesh - Chandra,Cash inflow,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Bangladesh Bhaluka,,,1,19.0,Yes,IDLC,3.0,16.0,0.0,90.00%,10.00%,,,,15.92%,0.98%,0.04%,0.03%,0.63%,0.15%,0.78%,0.05%,1.46%,,CP Bangladesh Bhaluka,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Bangladesh Birganj WH,,,1,19.0,Yes,IDLC,3.0,16.0,0.0,90.00%,10.00%,,,,15.92%,0.98%,0.04%,0.03%,0.63%,0.15%,0.78%,0.05%,1.46%,,CP Bangladesh Birganj WH,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP Bangladesh Chittagong,,,1,19.0,Yes,IDLC,3.0,16.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,0.98%,0.04%,0.03%,0.63%,0.15%,0.78%,0.05%,1.46%,,CP Bangladesh Chittagong,Cash inflow,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
