Financial Row,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun
Revenue,,,,,,
41000000 - Sales,115109766,47803744,28577255,279530764,221070468,193452107
Total - Revenue,115109766,47803744,28577255,279530764,221070468,193452107
Cost of Sales,110966030,46350113.4,27425310.72,264715663,209147976.4,183275383.8
Total Cost of Goods Sold (COGS),110966030,46350113.4,27425310.72,264715663,209147976.4,183275383.8
,,,,,,
Gross Profit,4143736,1453630.6,1151944.28,14815100.96,11922491.56,10176723.16
Gross Profit (%),4%,3%,4%,5%,5%,5%
,,,,,,
52210001 - Delivery Cost,1954594.5,713053.9,576175,8108301,543815.27,4477687
52210002 - Selling OpEx- Labor,403058,146955,109088,1381597,6442642,1220163
52210003 - Selling OpEx- Packaging,1323116,444641,298270,4053232,3555394,3043688
52210004 - Selling OpEx- Others,0,40138,19533,122539,635240,265791
52210005 - COD Charge,65.5,0,161.6,256.7,280.4,209
Total - Selling OpEx,3680834,1344787.9,1003227.6,13665925.7,11177371.67,9007538
,,,,,,
52231000 - Branding expenses,170390,0,66595,242935,0,0
52234000 - Call Center Expenses,33670,46612,59403,37498,36225,0
Total - Marketing Expenses,204060,46612,125998,280433,36225,0
,,,,,,
52220000 - Other Selling & Distribution Expenses,32815,1090,531,411,296,606
52226000 - Discount Expense,6440,13500,5020,9010,6070,9884
Total - Other Selling & Distribution Expenses,39255,14590,5551,9421,6366,10490
Total Selling & Distribution Expense,3924149,1405989.9,1134776.6,13955779.7,11219962.67,9018028
,,,,,,
Profit after Selling & Distribution Expenses,219587,47640.7,17167.68,859321.26,702528.89,1158695.16
,,,,,,
52111001 - Salary- Core Employee,1291614,1339505,530121,530121,530121,642980
52111002 - Salary- Field Employee,1361426,1096660,356229,468261,471208,401880
52112001 - Bonus- Core Employee,107634,111625,104433,44177,68419,53582
52112002 - Bonus- Field Employee,113452,91388,98720,39022,39267,30623
52113000 - Performance Bonus,75000,0,,,,
Total - Salary Expenses,2949126,2639178,1089503,1081581,1109015,1129065
,,,,,,
52120001 - Field Visit Cost- Per-Diem,13600,39000,10000,7200,28600,15600
52120002 - Field Visit Cost- Accommodation,26667,48580,26710,8050,44900,38618
52120003 - Field Visit Cost- Official Meeting,5364,13606,1352,0,4398,0
52120004 - Field Visit Cost- Conveyance Expense,76204,41664,28304,19057,51133,33516
52120005 - Field Visit Cost- Miscellaneous,0,6560,,,,
Total -  Field Visit Cost,121835,149410,66366,34307,129031,87734
,,,,,,
"52140001 - Legal, Regulatory & Professional Expenses",480,2000,0,12000,3150,0
52140003 - Membership and subscriptions Expenses,9935,0,,,,
52140004 - Research & Development Expense,,,,,0,10696
"Total - Legal, Subscription & Advisory Fees",10415,2000,0,12000,3150,10696
,,,,,,
"52170002 - Celebration, Recreation & Party Expenses",19365,0,50,0,0,0
Total - Employee Engagement Expense,19365,0,50,0,0,0
,,,,,,
52150002 - Conveyance Expenses,8765,4055,8703,3770,3580,4854
52150003 - Printing & Stationary Expenses,7305,855,3168,2694,1365,1756
52150004 - Repair & Maintenance Expenses,2500,0,5330,4250,5350,3900
52150005 - Meals & Entertainment Expenses,4680,9523,5960,5047,19204,13470
52150006 - Office General Supplies,11780,5050,795,2850,1760,5380
Total - Administrative Expenses,35030,19483,23956,18611,31259,29360
,,,,,,
52190005 - Internet Expense,2095,1595,2595,2595,2575,2595
52190006 - Mobile Bill Expenses,32238,37720,36782,49436,32588,30747
52190008 - Rent Expense,220530,239470,248872,243578,243578,243578
52190014 - Utility expenses,5628,5832,12717,6528,10570,7129
52190016 - Bank & MFS Charge,9313.91,22719.56,2876.34,4620.28,4529.79,5402.44
52190020 - Insurance Premium Expense (Warehouse Product),26565,0,,,,
Total - General Expenses,296369.91,307336.56,303842.34,306757.28,293840.79,289451.44
,,,,,,
52160000 - Miscellaneous Expenses,8500,0,,,,
52160001 - Business Development Expenses,20000,140000,135,59500,0,110763
52160003 - Other Expense,19710,0,,,,
52160004 - Postage & Courier Expense,1899,343,791,910,1990,1950
Total - Miscellaneous Expenses,50109,140343,926,60410,1990,112713
Total Administrative & General Expenses,3482249.91,3257750.56,1484643.34,1513666.28,1568285.79,1659019.44
,,,,,,
60000000 - Other Income,0,8960,5160,0,,
Total - Other Operating Income,0,8960,5160,0,0,0
,,,,,,
Net Operating Profit,-3262662.91,-3210109.86,-1467475.66,-654345.02,-865756.9,-500324.28
,,,,,,
Investing Category,,,,,,
62000000 - Bank Interest,,,,,,133863.68
Total - Interest Income,,,,,,133863.68
,,,,,,
Profit before Financing and Tax,-3262662.91,-3201149.86,-1462315.66,-654345.02,-865756.9,-366460.6
,,,,,,
Financing Category,,,,,,
52310000 - Interset Expenses on Loan through Crowd Funding,2085582,2085582,1366957,2159457,1748167,2639386
Total - Interset Expenses on Loan through Crowd Funding,2085582,2085582,1366957,2159457,1748167,2639386
Average crowdfunding rate%,2%,4%,5%,1%,1%,1%
52320002 - Interest expense on Loan- City Bank,315215,315215,315215,315215,42714,0
52320003 - Interest expense on Loan- SBL,266667,266667,266667,266667,266667,266667
Total - Interset Expenses on Loan from Bank & NBFI,581882,581882,581882,581882,309381,266667
,,,,,,
52340001 - Service charges for factoring,-168854.88,18106.53,8710.15,97617.45,88966.26,230531.87
52340002 - Interest Expense for factoring,282872.93,0,878765.43,448379.1,952075.3,1518251.85
Total - Factoring Expense,114018.05,18106.53,887475.58,545996.55,1041041.56,1748783.72
Summary - Financing Costs,2781482.05,2685570.53,2836314.58,3287335.55,3098589.56,4654836.72
,,,,,,
Profit before Tax,-6044144.96,-5886720.39,-4298630.24,-3941680.57,-3964346.46,-5021297.32
,,,,,,
Tax on Profit,0,0,0,0,0,0
Profit/ (Loss) for the Period,-6044144.96,-5886720.39,-4298630.24,-3941680.57,-3964346.46,-5021297.32
