Sales Date,Buyer Name,Product Name,Reporting Month,Gross Quantity,Receive Quantity KG,Unit Price2,Net Sales Amount,Sales/Revenue,Cost Of Product,Cogs,Total Selling Opex(F),Profit .After - S& D,Total Cogs,GP,GP %
2025-07-11,National Imports,Product A,2025-07,156,151.78214135733376,134.58,20994.23,20994.23,8560.35,10700.44,2334.73,7959.05,10700.44,10293.78,49.03
2025-06-02,Prime Distributors,Product D,2025-08,201,192.77734092043136,125.56,25238.0,25238.0,9199.58,11499.47,3294.57,10443.96,11499.47,13738.53,54.44
2025-11-10,Prime Distributors,Product A,2025-04,363,345.6969817873271,116.73,42374.06,42374.06,16718.92,20898.65,4253.76,17221.64,20898.65,21475.41,50.68
2025-04-25,National Imports,Product D,2025-07,239,227.60508243200397,86.34,20635.85,20635.85,8449.78,10562.22,2203.34,7870.29,10562.22,10073.62,48.82
2025-02-26,Global Trading,Product C,2025-05,378,364.85720023737673,84.55,31961.27,31961.27,13932.26,17415.33,4717.3,9828.64,17415.33,14545.94,45.51
2025-03-14,Prime Distributors,Product B,2025-04,141,136.70697728339135,110.81,15624.31,15624.31,5777.29,7221.61,1791.52,6611.17,7221.61,8402.69,53.78
2025-02-26,XYZ Ltd,Product D,2025-04,51,49.5968730400929,109.76,5597.81,5597.81,2108.33,2635.41,670.28,2292.12,2635.41,2962.39,52.92
2025-12-25,XYZ Ltd,Product B,2025-04,319,318.3806937883721,130.91,41759.98,41759.98,16124.5,20155.63,5008.32,16596.04,20155.63,21604.36,51.73
2025-12-28,Prime Distributors,Product D,2025-05,387,372.9905841721362,117.78,45580.26,45580.26,18548.44,23185.54,6726.18,15668.53,23185.54,22394.72,49.13
2025-08-24,Prime Distributors,Product C,2025-05,114,108.38025498947599,81.09,9244.78,9244.78,3641.26,4551.58,995.12,3698.08,4551.58,4693.2,50.77
2025-10-09,Global Trading,Product A,2025-08,212,211.09857256076407,135.31,28686.21,28686.21,11717.65,14647.06,4154.94,9884.2,14647.06,14039.14,48.94
2025-05-03,ABC Corp,Product D,2025-04,467,457.45680334297543,86.68,40478.96,40478.96,15773.25,19716.56,5133.5,15628.9,19716.56,20762.39,51.29
2025-10-23,Global Trading,Product C,2025-01,276,272.83934708337296,88.37,24390.56,24390.56,10172.32,12715.4,3250.16,8425.0,12715.4,11675.16,47.87
2025-07-17,Global Trading,Product A,2025-07,64,61.80593913944424,87.76,5616.79,5616.79,2219.46,2774.32,528.65,2313.81,2774.32,2842.47,50.61
2025-07-27,National Imports,Product B,2025-05,456,449.04109647330523,122.31,55773.0,55773.0,22486.97,28108.71,5254.61,22409.68,28108.71,27664.3,49.6
2025-12-12,National Imports,Product B,2025-02,94,91.25759675499071,100.69,9465.27,9465.27,3487.38,4359.22,1059.71,4046.34,4359.22,5106.05,53.95
2025-11-25,Global Trading,Product D,2025-02,397,393.38759310356147,104.94,41661.52,41661.52,18020.53,22525.67,4126.54,15009.31,22525.67,19135.85,45.93
2025-03-10,ABC Corp,Product C,2025-07,247,238.8195473668348,115.75,28590.82,28590.82,11247.43,14059.28,2731.78,11799.76,14059.28,14531.54,50.83
2025-10-20,Global Trading,Product B,2025-08,145,139.53985145557985,119.07,17264.74,17264.74,6773.07,8466.34,1459.6,7338.79,8466.34,8798.39,50.96
2025-02-28,XYZ Ltd,Product C,2025-01,150,142.8860906343749,99.94,14990.83,14990.83,5440.93,6801.17,1838.92,6350.74,6801.17,8189.66,54.63
2025-06-23,Prime Distributors,Product D,2025-01,434,426.88534137870755,96.77,41997.89,41997.89,15606.06,19507.58,4798.75,17691.56,19507.58,22490.31,53.55
2025-06-22,Global Trading,Product D,2025-03,450,439.55493039168203,130.98,58938.81,58938.81,22952.11,28690.14,7323.82,22924.86,28690.14,30248.68,51.32
2025-11-04,ABC Corp,Product A,2025-04,236,224.39573638134868,93.06,21961.29,21961.29,7977.7,9972.13,2665.28,9323.88,9972.13,11989.16,54.59
2025-07-18,Global Trading,Product C,2025-03,197,195.40144454318718,125.16,24656.93,24656.93,9220.44,11525.55,3165.1,9966.28,11525.55,13131.38,53.26
2025-12-16,Global Trading,Product D,2025-01,483,478.58591613485936,144.73,69903.89,69903.89,30071.76,37589.69,6854.49,25459.71,37589.69,32314.2,46.23
2025-05-27,ABC Corp,Product D,2025-04,418,401.0439785643348,96.93,40516.6,40516.6,14887.75,18609.69,5785.98,16120.93,18609.69,21906.91,54.07
2025-01-24,ABC Corp,Product C,2025-03,353,350.3688871207466,139.27,49161.0,49161.0,21065.78,26332.22,5324.9,17503.87,26332.22,22828.77,46.44
2025-09-03,ABC Corp,Product D,2025-04,471,470.37978335558773,126.83,59736.54,59736.54,24280.21,30350.27,6335.65,23050.63,30350.27,29386.28,49.19
2025-04-01,XYZ Ltd,Product D,2025-06,387,367.99975828596035,113.99,44115.28,44115.28,17464.09,21830.11,6600.18,15684.99,21830.11,22285.17,50.52
2025-12-27,Prime Distributors,Product D,2025-04,433,419.3110471362367,132.09,57195.81,57195.81,23889.27,29861.59,5809.05,21525.17,29861.59,27334.22,47.79
2025-12-15,Prime Distributors,Product C,2025-06,313,305.0579019082652,124.18,38868.25,38868.25,16464.0,20580.0,4477.02,13811.22,20580.0,18288.24,47.05
2025-01-12,Prime Distributors,Product D,2025-05,353,351.9490940138289,99.65,35177.89,35177.89,12732.47,15915.59,4403.68,14858.62,15915.59,19262.3,54.76
